country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IN,India,Sikkim,,43879,6,6,5,6,14,0
IN,India,Sikkim,,43880,4,2,4,7,16,1
IN,India,Sikkim,,43881,8,8,11,5,17,1
IN,India,Sikkim,,43882,11,17,13,9,14,0
IN,India,Sikkim,,43883,5,13,12,3,3,2
IN,India,Sikkim,,43884,2,3,4,-2,0,2
IN,India,Sikkim,,43885,-3,-10,-2,-27,-19,1
IN,India,Sikkim,,43886,-8,-6,-4,-11,9,0
IN,India,Sikkim,,43887,0,-5,2,-7,12,1
IN,India,Sikkim,,43888,8,8,9,3,17,0
IN,India,Sikkim,,43889,14,15,13,15,16,0
IN,India,Sikkim,,43890,15,21,11,4,17,1
IN,India,Sikkim,,43891,5,2,3,-5,4,3
IN,India,Sikkim,,43892,3,1,8,2,14,0
IN,India,Sikkim,,43893,8,1,7,6,16,0
IN,India,Sikkim,,43894,13,8,12,12,18,1
IN,India,Sikkim,,43895,17,17,17,18,19,1
IN,India,Sikkim,,43896,22,28,23,17,18,-1
IN,India,Sikkim,,43897,21,,14,12,14,-1
IN,India,Sikkim,,43898,23,27,33,7,3,0
IN,India,Sikkim,,43899,18,11,31,-9,-21,3
IN,India,Sikkim,,43900,0,0,19,-16,-37,5
IN,India,Sikkim,,43901,16,14,21,19,14,-3
IN,India,Sikkim,,43902,17,16,20,28,14,-1
IN,India,Sikkim,,43903,11,16,11,12,15,-1
IN,India,Sikkim,,43904,4,12,4,-3,4,2
IN,India,Sikkim,,43905,3,4,8,-4,5,2
IN,India,Sikkim,,43906,17,6,7,11,16,0
IN,India,Sikkim,,43907,10,4,3,-4,13,0
IN,India,Sikkim,,43908,1,-5,-8,-7,7,1
IN,India,Sikkim,,43909,-5,-12,-15,-18,4,3
IN,India,Sikkim,,43910,-13,-15,-31,-33,2,3
IN,India,Sikkim,,43911,-11,,-32,-29,7,3
IN,India,Sikkim,,43912,-65,-77,-47,-73,-32,17
IN,India,Sikkim,,43913,-20,-25,-37,-45,-6,5
IN,India,Sikkim,,43914,-16,-17,-32,-41,-11,3
IN,India,Sikkim,,43915,-58,-71,-43,-71,-39,14
IN,India,Sikkim,,43916,-57,-70,-41,-69,-39,15
IN,India,Sikkim,,43917,-58,-67,-42,-72,-38,16
IN,India,Sikkim,,43918,-56,-62,-41,-64,-26,14
IN,India,Sikkim,,43919,-61,-70,-44,-66,-24,15
IN,India,Sikkim,,43920,-56,-70,-45,-73,-39,16
IN,India,Sikkim,,43921,-56,-71,-42,-69,-38,15
IN,India,Sikkim,,43922,-59,-71,-41,-71,-39,15
IN,India,Sikkim,,43923,-55,-70,-39,-71,-40,15
IN,India,Sikkim,,43924,-55,-68,-39,-73,-36,16
IN,India,Sikkim,,43925,-54,-63,-40,-68,-20,15
IN,India,Sikkim,,43926,-59,-68,-42,-73,-20,14
IN,India,Sikkim,,43927,-60,-71,-42,-75,-38,17
IN,India,Sikkim,,43928,-65,-67,-39,-80,-38,15
IN,India,Sikkim,,43929,-67,-65,-38,-78,-38,15
IN,India,Sikkim,,43930,-66,-67,-40,-81,-38,17
IN,India,Sikkim,,43931,-67,-65,-38,-81,-41,17
IN,India,Sikkim,,43932,-66,-61,-40,-78,-24,16
IN,India,Sikkim,,43933,-68,-66,-42,-76,-22,16
IN,India,Sikkim,,43934,-66,-66,-41,-81,-37,18
IN,India,Sikkim,,43935,-69,-68,-40,-81,-39,17
IN,India,Sikkim,,43936,-65,-63,-37,-80,-32,15
IN,India,Sikkim,,43937,-78,-65,-45,-75,-35,17
IN,India,Sikkim,,43938,-77,-59,-42,-76,-32,16
IN,India,Sikkim,,43939,-77,-59,-47,-69,-20,14
IN,India,Sikkim,,43940,-78,-65,-50,-70,-19,16
IN,India,Sikkim,,43941,-74,-60,-47,-70,-25,15
IN,India,Sikkim,,43942,-75,-62,-47,-71,-28,13
IN,India,Sikkim,,43943,-76,-63,-48,-72,-30,15
IN,India,Sikkim,,43944,-75,-63,-46,-73,-30,16
IN,India,Sikkim,,43945,-74,-61,-46,-74,-30,16
IN,India,Sikkim,,43946,-74,-52,-45,-67,-16,15
IN,India,Sikkim,,43947,-77,-63,-48,-67,-13,16
IN,India,Sikkim,,43948,-75,-61,-47,-72,-28,16
IN,India,Sikkim,,43949,-75,-63,-46,-70,-30,13
IN,India,Sikkim,,43950,-73,-60,-43,-69,-27,14
IN,India,Sikkim,,43951,-76,-61,-42,-69,-27,15
IN,India,Sikkim,,43952,-75,-60,-44,-73,-35,17
IN,India,Sikkim,,43953,-74,-51,-45,-62,-11,13
IN,India,Sikkim,,43954,-76,-61,-48,-70,-15,14
IN,India,Sikkim,,43955,-69,-45,-47,-67,-20,13
IN,India,Sikkim,,43956,-68,-36,-43,-64,-20,11
IN,India,Sikkim,,43957,-66,-35,-45,-62,-16,12
IN,India,Sikkim,,43958,-68,-40,-43,-65,-25,13
IN,India,Sikkim,,43959,-65,-27,-43,-58,-14,10
IN,India,Sikkim,,43960,-65,-27,-40,-53,-5,10
IN,India,Sikkim,,43961,-67,-47,-46,-62,-6,13
IN,India,Sikkim,,43962,-64,-31,-46,-61,-13,11
IN,India,Sikkim,,43963,-67,-35,-44,-59,-14,11
IN,India,Sikkim,,43964,-65,-31,-43,-60,-14,10
IN,India,Sikkim,,43965,-64,-34,-42,-58,-14,10
IN,India,Sikkim,,43966,-63,-28,-42,-61,-11,9
IN,India,Sikkim,,43967,-61,-26,-41,-52,-11,10
IN,India,Sikkim,,43968,-66,-46,-43,-58,-4,11
IN,India,Sikkim,,43969,-60,-25,-44,-57,-8,9
IN,India,Sikkim,,43970,-62,-28,-43,-52,-11,8
IN,India,Sikkim,,43971,-65,-32,-45,-56,-12,10
IN,India,Sikkim,,43972,-63,-31,-40,-56,-12,10
IN,India,Sikkim,,43973,-61,-20,-40,-56,-9,9
IN,India,Sikkim,,43974,-63,-23,-44,-49,0,8
IN,India,Sikkim,,43975,-67,-41,-45,-58,-5,11
IN,India,Sikkim,,43976,-67,-40,-47,-67,-28,12
IN,India,Tamil Nadu,,43876,1,0,3,2,6,0
IN,India,Tamil Nadu,,43877,0,3,2,-2,1,2
IN,India,Tamil Nadu,,43878,-4,1,-1,-3,8,2
IN,India,Tamil Nadu,,43879,0,1,2,-1,5,1
IN,India,Tamil Nadu,,43880,-1,1,0,1,7,1
IN,India,Tamil Nadu,,43881,-3,0,1,2,6,1
IN,India,Tamil Nadu,,43882,3,2,12,8,2,0
IN,India,Tamil Nadu,,43883,0,-2,8,3,0,0
IN,India,Tamil Nadu,,43884,-1,-2,3,0,0,2
IN,India,Tamil Nadu,,43885,-4,0,-2,-2,8,2
IN,India,Tamil Nadu,,43886,5,0,1,3,4,0
IN,India,Tamil Nadu,,43887,2,-1,2,6,2,-1
IN,India,Tamil Nadu,,43888,-5,-2,-1,-1,7,2
IN,India,Tamil Nadu,,43889,2,1,2,1,7,1
IN,India,Tamil Nadu,,43890,3,1,2,3,10,0
IN,India,Tamil Nadu,,43891,5,4,2,1,2,1
IN,India,Tamil Nadu,,43892,-1,3,-1,-2,8,1
IN,India,Tamil Nadu,,43893,1,3,3,-1,5,1
IN,India,Tamil Nadu,,43894,3,6,2,5,6,0
IN,India,Tamil Nadu,,43895,3,3,3,5,3,0
IN,India,Tamil Nadu,,43896,4,5,5,5,4,0
IN,India,Tamil Nadu,,43897,0,2,5,4,7,0
IN,India,Tamil Nadu,,43898,2,5,4,1,1,1
IN,India,Tamil Nadu,,43899,-1,4,3,0,5,1
IN,India,Tamil Nadu,,43900,1,4,4,-1,2,2
IN,India,Tamil Nadu,,43901,-1,4,1,2,5,0
IN,India,Tamil Nadu,,43902,-2,2,0,0,4,1
IN,India,Tamil Nadu,,43903,0,3,2,1,4,1
IN,India,Tamil Nadu,,43904,-4,1,1,-3,1,3
IN,India,Tamil Nadu,,43905,-8,3,-3,-7,1,3
IN,India,Tamil Nadu,,43906,-7,5,-3,-5,5,3
IN,India,Tamil Nadu,,43907,-8,7,-1,-5,-5,4
IN,India,Tamil Nadu,,43908,-13,10,-7,-7,-6,5
IN,India,Tamil Nadu,,43909,-17,7,-10,-12,-7,7
IN,India,Tamil Nadu,,43910,-18,11,-12,-14,-10,7
IN,India,Tamil Nadu,,43911,-25,17,-20,-15,-9,7
IN,India,Tamil Nadu,,43912,-78,-79,-52,-67,-46,22
IN,India,Tamil Nadu,,43913,-26,21,-15,-24,-29,13
IN,India,Tamil Nadu,,43914,-41,5,-17,-31,-48,17
IN,India,Tamil Nadu,,43915,-79,-65,-39,-70,-75,34
IN,India,Tamil Nadu,,43916,-80,-66,-41,-71,-74,37
IN,India,Tamil Nadu,,43917,-80,-65,-41,-71,-74,36
IN,India,Tamil Nadu,,43918,-81,-66,-48,-71,-69,32
IN,India,Tamil Nadu,,43919,-78,-63,-50,-68,-46,24
IN,India,Tamil Nadu,,43920,-79,-63,-41,-71,-72,36
IN,India,Tamil Nadu,,43921,-77,-61,-38,-68,-72,33
IN,India,Tamil Nadu,,43922,-78,-61,-40,-68,-72,34
IN,India,Tamil Nadu,,43923,-78,-61,-40,-68,-72,35
IN,India,Tamil Nadu,,43924,-77,-59,-39,-68,-71,35
IN,India,Tamil Nadu,,43925,-78,-62,-46,-68,-64,31
IN,India,Tamil Nadu,,43926,-78,-64,-50,-67,-41,23
IN,India,Tamil Nadu,,43927,-79,-63,-37,-70,-72,36
IN,India,Tamil Nadu,,43928,-82,-51,-27,-61,-71,33
IN,India,Tamil Nadu,,43929,-82,-51,-29,-61,-71,33
IN,India,Tamil Nadu,,43930,-83,-52,-31,-62,-71,36
IN,India,Tamil Nadu,,43931,-83,-50,-30,-63,-73,36
IN,India,Tamil Nadu,,43932,-83,-52,-38,-62,-65,32
IN,India,Tamil Nadu,,43933,-82,-52,-41,-60,-41,23
IN,India,Tamil Nadu,,43934,-82,-50,-31,-63,-69,36
IN,India,Tamil Nadu,,43935,-83,-55,-29,-64,-74,36
IN,India,Tamil Nadu,,43936,-82,-51,-28,-60,-69,34
IN,India,Tamil Nadu,,43937,-87,-46,-40,-59,-69,36
IN,India,Tamil Nadu,,43938,-86,-44,-40,-59,-69,36
IN,India,Tamil Nadu,,43939,-88,-50,-50,-60,-61,31
IN,India,Tamil Nadu,,43940,-87,-51,-53,-59,-39,23
IN,India,Tamil Nadu,,43941,-87,-48,-43,-61,-66,35
IN,India,Tamil Nadu,,43942,-86,-45,-41,-59,-68,33
IN,India,Tamil Nadu,,43943,-86,-46,-42,-59,-67,33
IN,India,Tamil Nadu,,43944,-87,-47,-43,-60,-67,36
IN,India,Tamil Nadu,,43945,-86,-44,-43,-60,-67,35
IN,India,Tamil Nadu,,43946,-85,-32,-50,-57,-62,30
IN,India,Tamil Nadu,,43947,-91,-70,-55,-67,-44,26
IN,India,Tamil Nadu,,43948,-90,-64,-45,-67,-70,39
IN,India,Tamil Nadu,,43949,-89,-62,-42,-64,-71,35
IN,India,Tamil Nadu,,43950,-88,-59,-42,-62,-69,35
IN,India,Tamil Nadu,,43951,-84,-32,-41,-56,-65,34
IN,India,Tamil Nadu,,43952,-86,-42,-43,-60,-70,36
IN,India,Tamil Nadu,,43953,-86,-45,-49,-59,-58,30
IN,India,Tamil Nadu,,43954,-86,-50,-53,-59,-35,22
IN,India,Tamil Nadu,,43955,-82,-36,-42,-56,-58,32
IN,India,Tamil Nadu,,43956,-81,-35,-40,-54,-60,31
IN,India,Tamil Nadu,,43957,-80,-29,-41,-50,-57,29
IN,India,Tamil Nadu,,43958,-79,-29,-39,-49,-56,30
IN,India,Tamil Nadu,,43959,-79,-27,-40,-50,-55,29
IN,India,Tamil Nadu,,43960,-80,-30,-47,-50,-47,26
IN,India,Tamil Nadu,,43961,-81,-35,-50,-51,-25,19
IN,India,Tamil Nadu,,43962,-75,-21,-41,-48,-48,28
IN,India,Tamil Nadu,,43963,-74,-20,-39,-45,-50,27
IN,India,Tamil Nadu,,43964,-74,-17,-39,-42,-47,25
IN,India,Tamil Nadu,,43965,-73,-18,-40,-44,-47,26
IN,India,Tamil Nadu,,43966,-72,-14,-39,-43,-46,26
IN,India,Tamil Nadu,,43967,-73,-15,-44,-40,-35,21
IN,India,Tamil Nadu,,43968,-76,-25,-49,-44,-19,17
IN,India,Tamil Nadu,,43969,-70,-12,-40,-42,-41,24
IN,India,Tamil Nadu,,43970,-69,-13,-38,-40,-44,23
IN,India,Tamil Nadu,,43971,-67,-11,-38,-38,-42,23
IN,India,Tamil Nadu,,43972,-68,-12,-39,-39,-42,25
IN,India,Tamil Nadu,,43973,-67,-10,-39,-40,-41,24
IN,India,Tamil Nadu,,43974,-68,-12,-45,-38,-31,20
IN,India,Tamil Nadu,,43975,-70,-17,-46,-39,-15,15
IN,India,Tamil Nadu,,43976,-66,-12,-37,-42,-48,25
IN,India,Telangana,,43876,2,0,1,4,1,0
IN,India,Telangana,,43877,1,4,7,2,0,1
IN,India,Telangana,,43878,0,3,5,2,4,1
IN,India,Telangana,,43879,1,3,5,3,4,1
IN,India,Telangana,,43880,0,4,5,5,6,0
IN,India,Telangana,,43881,2,9,5,7,4,0
IN,India,Telangana,,43882,-7,6,8,-5,-26,9
IN,India,Telangana,,43883,-2,-6,-1,-6,-13,5
IN,India,Telangana,,43884,-2,0,5,-1,1,2
IN,India,Telangana,,43885,2,2,6,4,5,1
IN,India,Telangana,,43886,2,2,7,6,4,0
IN,India,Telangana,,43887,3,1,10,7,3,-1
IN,India,Telangana,,43888,2,2,6,5,2,0
IN,India,Telangana,,43889,4,2,10,9,3,0
IN,India,Telangana,,43890,3,2,2,4,6,1
IN,India,Telangana,,43891,3,7,9,5,2,0
IN,India,Telangana,,43892,1,4,5,4,5,1
IN,India,Telangana,,43893,1,5,4,3,5,1
IN,India,Telangana,,43894,1,12,4,5,7,1
IN,India,Telangana,,43895,-2,7,1,1,2,2
IN,India,Telangana,,43896,-1,8,5,6,4,2
IN,India,Telangana,,43897,0,5,-1,3,6,2
IN,India,Telangana,,43898,-2,6,4,-1,5,1
IN,India,Telangana,,43899,-9,-1,1,-15,-26,9
IN,India,Telangana,,43900,-1,3,5,-1,-13,4
IN,India,Telangana,,43901,0,4,5,5,2,0
IN,India,Telangana,,43902,-1,2,4,1,0,1
IN,India,Telangana,,43903,-2,3,7,4,0,1
IN,India,Telangana,,43904,-4,5,-1,-2,-5,3
IN,India,Telangana,,43905,-10,5,2,1,-1,1
IN,India,Telangana,,43906,-8,4,0,-2,-8,4
IN,India,Telangana,,43907,-10,3,-1,-6,-12,4
IN,India,Telangana,,43908,-10,5,-2,-4,-12,4
IN,India,Telangana,,43909,-18,1,-9,-12,-19,6
IN,India,Telangana,,43910,-20,8,-7,-12,-21,8
IN,India,Telangana,,43911,-25,19,-17,-15,-17,7
IN,India,Telangana,,43912,-84,-83,-62,-74,-55,24
IN,India,Telangana,,43913,-68,-23,-38,-58,-60,26
IN,India,Telangana,,43914,-79,-45,-50,-70,-72,32
IN,India,Telangana,,43915,-82,-57,-57,-75,-79,35
IN,India,Telangana,,43916,-82,-59,-56,-76,-75,35
IN,India,Telangana,,43917,-83,-59,-56,-76,-74,37
IN,India,Telangana,,43918,-84,-61,-62,-76,-70,34
IN,India,Telangana,,43919,-82,-59,-59,-73,-51,24
IN,India,Telangana,,43920,-82,-61,-56,-76,-72,36
IN,India,Telangana,,43921,-81,-60,-55,-75,-72,33
IN,India,Telangana,,43922,-81,-61,-55,-75,-72,33
IN,India,Telangana,,43923,-82,-63,-57,-76,-75,35
IN,India,Telangana,,43924,-82,-60,-54,-74,-71,35
IN,India,Telangana,,43925,-82,-61,-59,-74,-65,31
IN,India,Telangana,,43926,-81,-59,-58,-72,-46,23
IN,India,Telangana,,43927,-81,-62,-54,-75,-71,35
IN,India,Telangana,,43928,-84,-52,-52,-70,-71,33
IN,India,Telangana,,43929,-84,-52,-53,-69,-71,32
IN,India,Telangana,,43930,-84,-52,-54,-70,-71,34
IN,India,Telangana,,43931,-85,-52,-53,-70,-73,36
IN,India,Telangana,,43932,-86,-56,-58,-71,-67,33
IN,India,Telangana,,43933,-84,-52,-57,-67,-47,23
IN,India,Telangana,,43934,-84,-54,-53,-71,-70,35
IN,India,Telangana,,43935,-84,-54,-53,-70,-73,33
IN,India,Telangana,,43936,-84,-52,-52,-68,-69,32
IN,India,Telangana,,43937,-89,-47,-67,-68,-70,34
IN,India,Telangana,,43938,-89,-48,-66,-68,-70,35
IN,India,Telangana,,43939,-90,-54,-72,-70,-63,31
IN,India,Telangana,,43940,-89,-50,-71,-67,-46,23
IN,India,Telangana,,43941,-90,-53,-68,-71,-69,35
IN,India,Telangana,,43942,-90,-53,-68,-70,-70,33
IN,India,Telangana,,43943,-90,-55,-68,-71,-70,34
IN,India,Telangana,,43944,-90,-53,-69,-71,-71,35
IN,India,Telangana,,43945,-90,-50,-68,-70,-70,35
IN,India,Telangana,,43946,-91,-53,-72,-71,-65,33
IN,India,Telangana,,43947,-89,-49,-72,-68,-46,24
IN,India,Telangana,,43948,-90,-52,-69,-71,-69,36
IN,India,Telangana,,43949,-89,-51,-68,-69,-70,32
IN,India,Telangana,,43950,-89,-49,-67,-68,-68,32
IN,India,Telangana,,43951,-89,-49,-67,-69,-68,33
IN,India,Telangana,,43952,-89,-48,-68,-69,-71,35
IN,India,Telangana,,43953,-89,-48,-72,-68,-60,30
IN,India,Telangana,,43954,-88,-45,-71,-65,-42,21
IN,India,Telangana,,43955,-88,-46,-67,-67,-65,32
IN,India,Telangana,,43956,-87,-44,-66,-65,-65,30
IN,India,Telangana,,43957,-84,-33,-65,-57,-62,28
IN,India,Telangana,,43958,-84,-34,-65,-58,-61,29
IN,India,Telangana,,43959,-83,-30,-65,-55,-59,29
IN,India,Telangana,,43960,-85,-36,-70,-58,-55,26
IN,India,Telangana,,43961,-84,-31,-68,-54,-35,18
IN,India,Telangana,,43962,-83,-33,-65,-57,-57,28
IN,India,Telangana,,43963,-83,-32,-65,-56,-58,26
IN,India,Telangana,,43964,-83,-31,-65,-55,-56,25
IN,India,Telangana,,43965,-82,-31,-65,-56,-57,26
IN,India,Telangana,,43966,-82,-29,-64,-54,-56,27
IN,India,Telangana,,43967,-83,-32,-69,-55,-47,24
IN,India,Telangana,,43968,-83,-31,-68,-54,-32,17
IN,India,Telangana,,43969,-81,-30,-65,-55,-53,26
IN,India,Telangana,,43970,-78,-24,-64,-50,-52,23
IN,India,Telangana,,43971,-75,-19,-63,-47,-49,22
IN,India,Telangana,,43972,-75,-20,-64,-48,-50,23
IN,India,Telangana,,43973,-76,-20,-64,-48,-48,25
IN,India,Telangana,,43974,-75,-19,-68,-46,-40,20
IN,India,Telangana,,43975,-76,-18,-66,-44,-25,14
IN,India,Telangana,,43976,-76,-24,-63,-52,-60,26
IN,India,Tripura,,43876,3,9,2,5,6,0
IN,India,Tripura,,43877,1,0,-1,0,1,1
IN,India,Tripura,,43878,-2,-2,-1,-2,4,0
IN,India,Tripura,,43879,0,0,-1,-4,5,1
IN,India,Tripura,,43880,-2,0,0,4,18,1
IN,India,Tripura,,43881,-1,1,3,3,8,0
IN,India,Tripura,,43882,2,1,1,-8,-16,5
IN,India,Tripura,,43883,-6,-4,-1,-7,-13,3
IN,India,Tripura,,43884,-4,-5,-4,-6,1,1
IN,India,Tripura,,43885,-2,0,-1,-1,5,0
IN,India,Tripura,,43886,-3,-3,-3,-4,3,2
IN,India,Tripura,,43887,-5,-5,-1,2,16,1
IN,India,Tripura,,43888,-6,0,-1,-2,8,0
IN,India,Tripura,,43889,0,2,-1,-3,7,1
IN,India,Tripura,,43890,-3,1,-1,1,6,1
IN,India,Tripura,,43891,-1,-1,-7,-5,4,2
IN,India,Tripura,,43892,-3,1,0,-3,6,0
IN,India,Tripura,,43893,-2,0,-2,-3,4,1
IN,India,Tripura,,43894,-1,4,-4,6,21,1
IN,India,Tripura,,43895,-1,5,-2,0,9,0
IN,India,Tripura,,43896,3,7,-3,0,10,1
IN,India,Tripura,,43897,-1,5,-2,7,6,1
IN,India,Tripura,,43898,2,4,-3,1,5,1
IN,India,Tripura,,43899,-1,-3,-1,-9,-19,5
IN,India,Tripura,,43900,-14,-6,-1,-8,-18,5
IN,India,Tripura,,43901,0,3,-1,10,15,0
IN,India,Tripura,,43902,-5,1,-2,0,7,0
IN,India,Tripura,,43903,-2,2,-2,1,3,0
IN,India,Tripura,,43904,-4,-1,-1,-3,-14,2
IN,India,Tripura,,43905,-3,-3,-6,-3,3,1
IN,India,Tripura,,43906,-5,-1,-4,1,2,1
IN,India,Tripura,,43907,-7,-1,-4,2,-5,2
IN,India,Tripura,,43908,-7,1,-4,7,6,2
IN,India,Tripura,,43909,-7,2,-2,-3,-2,2
IN,India,Tripura,,43910,-9,1,-5,-6,-3,3
IN,India,Tripura,,43911,-14,3,-7,-7,-1,2
IN,India,Tripura,,43912,-68,-63,-36,-67,-35,19
IN,India,Tripura,,43913,-19,2,-10,-30,-14,6
IN,India,Tripura,,43914,-47,-29,-20,-49,-30,13
IN,India,Tripura,,43915,-68,-56,-29,-70,-44,23
IN,India,Tripura,,43916,-69,-56,-28,-70,-49,23
IN,India,Tripura,,43917,-67,-55,-30,-72,-50,24
IN,India,Tripura,,43918,-68,-56,-28,-71,-50,23
IN,India,Tripura,,43919,-66,-54,-33,-70,-27,19
IN,India,Tripura,,43920,-67,-55,-27,-71,-48,23
IN,India,Tripura,,43921,-65,-54,-27,-70,-47,22
IN,India,Tripura,,43922,-66,-54,-28,-68,-40,22
IN,India,Tripura,,43923,-66,-52,-28,-70,-44,21
IN,India,Tripura,,43924,-63,-52,-26,-69,-44,19
IN,India,Tripura,,43925,-64,-51,-26,-69,-39,17
IN,India,Tripura,,43926,-62,-50,-35,-68,-22,17
IN,India,Tripura,,43927,-64,-51,-22,-69,-45,21
IN,India,Tripura,,43928,-70,-48,-18,-70,-49,23
IN,India,Tripura,,43929,-70,-49,-19,-68,-43,24
IN,India,Tripura,,43930,-68,-47,-18,-69,-46,23
IN,India,Tripura,,43931,-69,-47,-20,-71,-51,24
IN,India,Tripura,,43932,-69,-46,-20,-69,-47,22
IN,India,Tripura,,43933,-66,-44,-23,-68,-23,17
IN,India,Tripura,,43934,-68,-48,-17,-71,-51,26
IN,India,Tripura,,43935,-66,-42,-14,-68,-55,23
IN,India,Tripura,,43936,-70,-46,-13,-65,-36,21
IN,India,Tripura,,43937,-84,-36,-10,-62,-40,18
IN,India,Tripura,,43938,-84,-35,-12,-64,-41,21
IN,India,Tripura,,43939,-86,-42,-20,-64,-38,20
IN,India,Tripura,,43940,-85,-38,-23,-62,-23,16
IN,India,Tripura,,43941,-86,-43,-15,-64,-50,22
IN,India,Tripura,,43942,-84,-36,-14,-60,-44,20
IN,India,Tripura,,43943,-84,-35,-15,-57,-27,18
IN,India,Tripura,,43944,-84,-37,-15,-61,-33,19
IN,India,Tripura,,43945,-82,-33,-16,-60,-33,18
IN,India,Tripura,,43946,-83,-34,-18,-60,-38,18
IN,India,Tripura,,43947,-83,-38,-25,-62,-16,17
IN,India,Tripura,,43948,-82,-29,-15,-59,-31,18
IN,India,Tripura,,43949,-81,-31,-15,-58,-31,18
IN,India,Tripura,,43950,-80,-25,-12,-51,-19,17
IN,India,Tripura,,43951,-81,-28,-11,-54,-26,17
IN,India,Tripura,,43952,-80,-27,-14,-56,-28,17
IN,India,Tripura,,43953,-80,-26,-15,-54,-22,16
IN,India,Tripura,,43954,-80,-29,-20,-54,-12,15
IN,India,Tripura,,43955,-76,-22,-11,-50,-24,16
IN,India,Tripura,,43956,-77,-25,-13,-49,-24,17
IN,India,Tripura,,43957,-77,-25,-13,-46,-15,16
IN,India,Tripura,,43958,-75,-20,-10,-48,-34,16
IN,India,Tripura,,43959,-74,-18,-12,-50,-28,15
IN,India,Tripura,,43960,-76,-23,-12,-51,-28,16
IN,India,Tripura,,43961,-78,-25,-19,-52,-9,14
IN,India,Tripura,,43962,-74,-18,-11,-49,-20,15
IN,India,Tripura,,43963,-74,-18,-10,-46,-21,15
IN,India,Tripura,,43964,-75,-18,-12,-37,-9,15
IN,India,Tripura,,43965,-71,-14,-10,-42,-15,12
IN,India,Tripura,,43966,-69,-13,-9,-42,-14,13
IN,India,Tripura,,43967,-70,-13,-9,-40,-11,12
IN,India,Tripura,,43968,-74,-18,-17,-44,-6,12
IN,India,Tripura,,43969,-69,-12,-9,-35,-17,12
IN,India,Tripura,,43970,-69,-13,-10,-39,-17,13
IN,India,Tripura,,43971,-71,-15,-11,-38,-5,14
IN,India,Tripura,,43972,-72,-18,-11,-42,-14,13
IN,India,Tripura,,43973,-67,-10,-10,-37,-13,12
IN,India,Tripura,,43974,-68,-10,-11,-38,-23,13
IN,India,Tripura,,43975,-72,-12,-13,-40,-3,11
IN,India,Tripura,,43976,-68,-12,-1,-44,-35,16
IN,India,Uttar Pradesh,,43876,4,6,7,5,3,-1
IN,India,Uttar Pradesh,,43877,6,9,8,9,-1,-1
IN,India,Uttar Pradesh,,43878,3,7,7,8,3,-2
IN,India,Uttar Pradesh,,43879,6,7,7,8,2,-1
IN,India,Uttar Pradesh,,43880,2,6,5,5,3,-1
IN,India,Uttar Pradesh,,43881,4,6,8,11,4,-2
IN,India,Uttar Pradesh,,43882,-7,-5,3,-5,-22,5
IN,India,Uttar Pradesh,,43883,1,3,7,-1,-1,0
IN,India,Uttar Pradesh,,43884,2,6,4,5,3,0
IN,India,Uttar Pradesh,,43885,0,4,4,6,2,-1
IN,India,Uttar Pradesh,,43886,5,5,8,7,-1,-1
IN,India,Uttar Pradesh,,43887,2,3,6,5,-2,-2
IN,India,Uttar Pradesh,,43888,2,3,6,6,2,-2
IN,India,Uttar Pradesh,,43889,1,3,7,5,2,-2
IN,India,Uttar Pradesh,,43890,-2,-1,2,1,4,0
IN,India,Uttar Pradesh,,43891,3,9,5,4,3,0
IN,India,Uttar Pradesh,,43892,4,8,7,6,2,-1
IN,India,Uttar Pradesh,,43893,3,8,7,7,3,-1
IN,India,Uttar Pradesh,,43894,1,8,3,4,4,0
IN,India,Uttar Pradesh,,43895,1,8,4,7,5,-1
IN,India,Uttar Pradesh,,43896,-3,0,0,8,1,1
IN,India,Uttar Pradesh,,43897,8,14,9,18,4,-2
IN,India,Uttar Pradesh,,43898,11,21,9,18,6,-2
IN,India,Uttar Pradesh,,43899,7,21,11,0,-27,4
IN,India,Uttar Pradesh,,43900,-40,-44,-9,-41,-65,15
IN,India,Uttar Pradesh,,43901,-8,-6,4,-2,-30,2
IN,India,Uttar Pradesh,,43902,2,4,7,11,-6,-2
IN,India,Uttar Pradesh,,43903,-5,-2,2,3,-3,0
IN,India,Uttar Pradesh,,43904,-5,-1,1,-2,-9,2
IN,India,Uttar Pradesh,,43905,-7,1,-1,2,1,1
IN,India,Uttar Pradesh,,43906,-2,6,4,4,-4,1
IN,India,Uttar Pradesh,,43907,-3,4,3,-1,-6,1
IN,India,Uttar Pradesh,,43908,-7,4,1,-5,-6,2
IN,India,Uttar Pradesh,,43909,-9,5,0,-8,-7,2
IN,India,Uttar Pradesh,,43910,-14,3,-3,-13,-11,3
IN,India,Uttar Pradesh,,43911,-27,-5,-14,-24,-17,6
IN,India,Uttar Pradesh,,43912,-73,-71,-50,-68,-47,18
IN,India,Uttar Pradesh,,43913,-50,-33,-29,-58,-49,18
IN,India,Uttar Pradesh,,43914,-57,-41,-35,-65,-57,20
IN,India,Uttar Pradesh,,43915,-71,-63,-45,-76,-65,25
IN,India,Uttar Pradesh,,43916,-70,-61,-44,-75,-63,24
IN,India,Uttar Pradesh,,43917,-71,-63,-43,-75,-63,25
